idx,bucket,selection_reason,en,human_colloquial_ref,human_annotator_2,gold_verified,gold_status,audit_decision,gold_notes,teacher_modern,teacher_adequacy,teacher_register,full,full_adequacy,full_register,lora,lora_adequacy,lora_register,adapter_ia3,adapter_adequacy,adapter_register,baseline_zeroshot,baseline_adequacy,baseline_register,draft_note,review_note
4,adequacy_risk,LoRA is code-mixed but word order is weak; full is a clean command.,See the map,padathe paaru,map paaru,map-a paaru,gold_needs_edit,data_quality_caveat,,Map-a pāruṅka,1,1,Map-a pāru,1,1,Map see,0,0,varaipaṭam pārkka,0,0,kāṇum varaipaṭam,0,0,Good example for register not guaranteeing adequacy.,
6,style_difference,Full chooses Tamil-dominant colloquial; LoRA matches English borrowing.,He disappeared in 1997.,ivaru 1997le seththu poyittaar,ivuru 1997le yerandhutaru,ivaru 1997le seththu poyittaar,source_issue,exclude_from_adequacy,source_ambiguity,avaru 1997-la disappear āyiṭṭāru.,1,1,avaru 1997-la kāṇāma pōyiṭṭāru.,1,1,avaru 1997-la disappear āyiṭṭāru.,1,1,ivar 1997 il maṟaintār.,0,0,ivar 1997 il maṟaintār.,1,0,Strong slide example for modernity/style split.,
7,unclear_fragment,Fragmentary English; several plausible renderings.,For example.,eduththukaatta sollalaam,eduththukaatta sollalaam,eduththukaattaga,gold_needs_edit,keep,,Example-kku.,1,1,Example-kku.,1,1,eṭuttukkāṭṭā.,0,1,"eṭuttukkāṭṭāka,",1,?,"eṭuttukkāṭṭāka,",1,?,"Use as a data-quality caveat, not a scored adequacy example.",
21,success,LoRA/full adopt colloquial light-verb construction; baselines stay literary.,Ramachandran founded the party.,raamachandhren indhe katchiye aarambichaaru,ramachandhren idhe katchiye aarambichaaru,Ramachandran andha party-a found pannaaru,gold_needs_edit,keep,,Ramachandran tāṉ anta party-a start paṇṇāru.,1,1,Ramachandran tāṉ party-a found paṇṇāru.,1,1,Ramachandran party-a found paṇṇāru.,0,1,rāmaccantiraṉ kaṭciyai niṟuviṉār.,1,0,rāmaccantiraṉ kaṭciyai niṟuviṉār.,1,0,Best all-around qualitative success example.,
26,literary_failure,Adapter/baseline are formal; LoRA looks less colloquial than full.,He did not know this.,idhu avarukku theriyale,idhu avaruku theriyadhu,idhu avarukku theriyadhu,gold_needs_edit,keep,,avarukku itellām teriyātu.,0,1,avarukku itat teriyātu.,1,1,avaru itai aṟiyāru.,1,?,itai avar aṟiyavillai.,0,0,itaṉai avar aṟiyavillai.,0,0,"Shows register is gradient, not just right/wrong.",word order changed
37,success,Full/LoRA capture colloquial negation; zero-shot mistranslates.,He will not eat too.,avanum saapdemaataan,avanum saapdemaataan,avanum saapdemaataan,ok,keep,,avaru rompa cāppiṭa māṭṭāru.,0,1,avaru kūṭa cāppiṭa māṭṭēṅkaṟāru.,1,1,avaru kūṭa cāppiṭa māṭṭāru.,1,1,avaṉum cāppiṭamāṭṭāṉ.,1,1,avaṉum uṇavaḷikka māṭṭāṉ.,0,0,Teacher may miss the 'also' nuance; verify before citing.,
45,adequacy_risk,LoRA changes meaning toward an imperative; baseline hallucinates songs.,The trio is shown in the picture.,padathula 3D kaattapattirukku,padathula 3D effect irukku,andha moonu perum picture-la irukkanga,source_issue,exclude_from_adequacy,source_mistranslation,anta mūṇu pērum picture-la irukkāṅka.,1,1,anta trio picture-la kāṭṭirukkāṅka.,1,1,anta trio picture-la kāṭṭaṇum.,0,1,ippaṭattil inta trio iṭam peṟṟuḷḷatu.,1,0,ittiraippaṭattil mūṉṟu pāṭalkaḷ iṭam peṟṟuḷḷaṉa.,0,0,Good adequacy-risk example for LoRA.,
50,adequacy_risk,Full appears to use wrong lexical item; zero-shot says egg.,The tail is also white.,vaalu vellaiye irukku,vaalum white-ah irruku,vaalu vellai-a irukku,gold_needs_edit,keep,,Tail-m white-ā irukkum.,0,1,vāyilyum white-ā irukku.,0,1,tail-m white-āyum irukku.,0,1,ivaṟṟiṉ vālkaḷum veṇmaiyāṉavai.,0,0,ivaṟṟiṉ muṭṭaiyum veṇmaiyāṉatu.,0,0,Strong example that colloquial-looking output can be wrong.,
68,success,Full/LoRA transfer colloquial plural and English noun borrowing.,There were three sisters.,moonu akka thangachingalum irundhaanga,moonu akka thangachi irundhaanga,moonu sisters irundhaanga,gold_needs_edit,keep,,mūṇu sisters iruntāṅka.,1,1,mūṇu sisters iruntāṅka.,1,1,mūṉṟu sisters iruntāṅka.,1,1,mūṉṟu cakōtarikaḷ iruntaṉar.,1,0,mūṉṟu cakōtarikaḷ iruntaṉar.,1,0,Simple success example.,
88,success,Full/teacher are strong; LoRA may shift possessive from their to your.,They refused to accept their opinion.,avanga karuththai oththukkalai,avanga karuththai oththukala,avanga karuththai oththukkalai,unclear,exclude_from_adequacy,,avaṅka avaṅka opinion-a accept paṇṇikka maṟuttuṭṭāṅka.,1,1,avaṅka avaṅka opinion-a accept paṇṇa maṟuttuṭṭāṅka.,1,1,avaṅka uṅka opinion-a accept paṇṟata refuse paṇṇāṅka.,?,1,avarkaḷ taṅkaḷ karuttai ēṟṟukkoḷḷa maṟuttaṉar.,1,0,avarkaḷ taṅkaḷ karuttai ēṟṟukkoḷḷa maṟuttaṉar.,1,0,Verify LoRA pronoun before using as a success.,
